"InsurancePolicyNumber","CustomerLoyaltyPeriod","DateOfPolicyCoverage","InsurancePolicyState","Policy_CombinedSingleLimit","Policy_Deductible","PolicyAnnualPremium","UmbrellaLimit","InsuredRelationship","CustomerID"
110175,223,1994-04-28,"State2","100/300",500,1201.41,0,"husband","Cust1054"
110176,195,2014-08-17,"State3","250/500",1000,1393.57,0,"not-in-family","Cust1055"
110178,439,2008-11-20,"State2","250/500",500,1082.49,0,"unmarried","Cust1057"
110179,94,1995-10-18,"State2","500/1000",1000,1414.74,0,"own-child","Cust1058"
110180,11,1993-05-19,"State1","250/500",2000,1470.06,0,"husband","Cust1059"
110181,151,2005-02-26,"State3","250/500",2000,870.63,0,"own-child","Cust1060"
110182,154,1990-02-14,"State2","100/300",500,795.23,0,"other-relative","Cust1061"
110183,245,1993-09-30,"State1","500/1000",1000,1168.2,0,"husband","Cust1062"
110185,215,2008-10-28,"State3","500/1000",500,1848.81,0,"own-child","Cust1064"
110186,295,2007-04-24,"State3","250/500",2000,1641.73,5000000,"not-in-family","Cust1065"
110187,254,1993-12-13,"State2","100/300",500,1362.87,0,"other-relative","Cust1066"
110188,107,2011-08-17,"State2","250/500",500,1239.22,7000000,"not-in-family","Cust1067"
110189,478,1990-08-20,"State3","250/500",500,835.02,0,"unmarried","Cust1068"
110190,128,1994-02-11,"State3","100/300",1000,1061.33,0,"own-child","Cust1069"
110191,338,1994-02-22,"State2","500/1000",1000,1279.08,0,"own-child","Cust1070"
110192,271,2011-08-15,"State3","100/300",500,1105.49,0,"own-child","Cust1071"
110193,222,1998-11-11,"State3","100/300",2000,1055.53,0,"not-in-family","Cust1072"
110196,192,2004-04-15,"State1","100/300",1000,1405.99,0,"wife","Cust1075"
110197,120,2001-02-02,"State3","100/300",1000,1425.54,0,"other-relative","Cust1076"
110199,319,1992-04-14,"State2","250/500",500,1307.11,0,"not-in-family","Cust1078"
110200,194,2010-05-21,"State3","500/1000",1000,1489.24,6000000,"wife","Cust1079"
110201,227,2013-10-27,"State3","500/1000",500,976.67,0,"unmarried","Cust1080"
110202,137,1994-10-12,"State3","250/500",2000,1340.43,0,"husband","Cust1081"
110204,78,2011-02-15,"State1","250/500",1000,1234.2,6000000,"other-relative","Cust1083"
110206,284,1997-05-15,"State2","500/1000",2000,769.95,0,"not-in-family","Cust1085"
110207,275,1996-10-26,"State3","100/300",2000,1514.72,0,"own-child","Cust1086"
110209,134,1991-01-02,"State1","500/1000",500,1612.43,0,"own-child","Cust1088"
110210,31,1999-08-15,"State1","500/1000",2000,1318.24,9000000,"not-in-family","Cust1089"
110211,41,1992-01-15,"State2","100/300",1000,1226.83,0,"not-in-family","Cust1090"
110212,127,1999-12-07,"State3","250/500",2000,1326.44,5000000,"own-child","Cust1091"
110213,61,1993-06-06,"State1","250/500",2000,1136.83,4000000,"own-child","Cust1092"
110214,207,2000-10-03,"State1","250/500",2000,1322.78,0,"own-child","Cust1093"
110215,219,2010-12-29,"State2","100/300",1000,1483.25,0,"not-in-family","Cust1094"
110216,271,1990-03-17,"State1","100/300",500,1515.3,0,"not-in-family","Cust1095"
110217,80,2012-03-01,"State1","100/300",2000,1075.18,5000000,"husband","Cust1096"
110219,29,2014-11-01,"State1","250/500",2000,1352.83,0,"own-child","Cust1098"
110220,295,2009-06-17,"State3","250/500",1000,1148.73,0,"wife","Cust1099"
110221,239,1999-09-20,"State1","100/300",1000,969.5,0,"not-in-family","Cust1100"
110222,269,1990-10-19,"State2","100/300",500,1463.82,0,"not-in-family","Cust1101"
110223,80,1996-08-05,"State1","100/300",1000,1474.17,0,"unmarried","Cust1102"
110225,165,2007-03-25,"State3","100/300",1000,1427.14,0,"other-relative","Cust1104"
110228,464,1990-10-07,"State3","500/1000",1000,1125.37,0,"husband","Cust1107"
110229,118,1991-12-28,"State2","500/1000",2000,1207.36,0,"own-child","Cust1108"
110230,298,1998-11-11,"State1","500/1000",2000,1338.5,0,"other-relative","Cust1109"
110231,87,2009-06-26,"State2","500/1000",1000,1074.07,0,"husband","Cust1110"
110232,261,2009-01-11,"State3","250/500",500,1337.56,0,"unmarried","Cust1111"
110234,210,2012-11-02,"State1","500/1000",500,1222.75,0,"other-relative","Cust1113"
110235,168,2000-05-04,"State2","100/300",1000,1059.52,0,"own-child","Cust1114"
110238,107,1991-02-13,"State1","500/1000",2000,1374.22,0,"other-relative","Cust1117"
110239,225,1993-08-05,"State3","500/1000",2000,1103.58,0,"unmarried","Cust1118"
110240,164,1997-10-31,"State1","250/500",2000,1269.76,0,"not-in-family","Cust1119"
110241,245,2001-04-21,"State3","250/500",500,964.79,8000000,"husband","Cust1120"
110242,255,2013-01-08,"State1","500/1000",2000,1167.3,4000000,"other-relative","Cust1121"
110243,206,2009-07-23,"State1","500/1000",500,1625.45,4000000,"other-relative","Cust1122"
110244,203,1998-02-20,"State1","250/500",500,1394.43,0,"not-in-family","Cust1123"
110247,206,2014-07-27,"State2","250/500",1000,1302.4,6000000,"unmarried","Cust1126"
110248,166,1992-11-09,"State1","100/300",2000,1588.55,0,"unmarried","Cust1127"
110249,165,2012-06-04,"State2","500/1000",500,1399.26,0,"own-child","Cust1128"
110250,274,2001-05-13,"State3","100/300",2000,1352.31,0,"wife","Cust1129"
110252,280,2011-07-15,"State2","250/500",1000,1397.67,0,"wife","Cust1131"
110253,194,2005-07-27,"State2","250/500",500,823.17,0,"own-child","Cust1132"
110254,112,2005-10-18,"State3","100/300",500,965.13,0,"unmarried","Cust1133"
110255,24,1996-01-19,"State1","500/1000",1000,1922.84,0,"wife","Cust1134"
110257,171,1997-02-18,"State2","250/500",2000,1277.25,0,"other-relative","Cust1136"
110258,200,2010-05-11,"State1","100/300",1000,1439.34,0,"other-relative","Cust1137"
110259,120,2009-02-06,"State1","250/500",1000,1281.27,0,"not-in-family","Cust1138"
110261,124,1992-06-06,"State1","250/500",1000,1198.15,0,"not-in-family","Cust1140"
110263,287,2004-03-29,"State1","500/1000",2000,968.74,0,"wife","Cust1142"
110264,122,2006-06-01,"State2","250/500",1000,1220.71,0,"own-child","Cust1143"
110265,22,1994-06-08,"State2","250/500",2000,1238.62,6000000,"other-relative","Cust1144"
110266,106,1998-02-12,"State1","500/1000",2000,1320.75,0,"wife","Cust1145"
110267,398,2000-11-16,"State3","100/300",500,990.98,0,"wife","Cust1146"
110268,214,2004-10-24,"State1","500/1000",500,1398.51,4000000,"not-in-family","Cust1147"
110269,209,2009-11-08,"State3","100/300",500,1355.08,0,"other-relative","Cust1148"
110270,82,1996-09-21,"State1","100/300",1000,1384.51,0,"not-in-family","Cust1149"
110272,134,2001-06-09,"State3","100/300",1000,1000.06,0,"wife","Cust1151"
110273,288,2002-10-06,"State1","100/300",1000,1046.71,0,"husband","Cust1152"
110276,101,2012-06-23,"State3","100/300",1000,1053.04,7000000,"own-child","Cust1155"
110277,375,2007-02-18,"State3","100/300",1000,1275.39,0,"other-relative","Cust1156"
110279,428,1999-09-29,"State2","250/500",500,1344.36,7000000,"other-relative","Cust1158"
110280,45,2006-05-14,"State2","100/300",1000,1197.71,0,"not-in-family","Cust1159"
110281,136,2010-04-29,"State3","100/300",500,1203.24,0,"other-relative","Cust1160"
110283,278,1999-07-24,"State2","500/1000",2000,1142.62,7000000,"not-in-family","Cust1162"
110284,295,1992-02-22,"State3","500/1000",1000,1332.07,0,"unmarried","Cust1163"
110285,112,2002-09-13,"State3","500/1000",1000,1166.54,0,"not-in-family","Cust1164"
110286,122,2003-08-09,"State1","250/500",500,1495.06,0,"unmarried","Cust1165"
110287,108,2007-12-04,"State2","500/1000",1000,1337.92,0,"not-in-family","Cust1166"
110288,14,2002-07-22,"State3","250/500",2000,1587.96,0,"unmarried","Cust1167"
110289,298,1992-07-03,"State1","500/1000",1000,1362.29,0,"unmarried","Cust1168"
110290,276,2005-03-29,"State1","250/500",500,1448.84,0,"husband","Cust1169"
110295,8,2003-02-11,"State2","250/500",500,1229.16,4000000,"wife","Cust1174"
110296,294,1990-08-15,"State1","100/300",1000,1226.49,0,"unmarried","Cust1175"
110297,324,2010-03-06,"State2","100/300",2000,897.89,6000000,"wife","Cust1176"
110299,261,2005-06-17,"State1","250/500",1000,1254.18,0,"other-relative","Cust1178"
110301,235,2011-01-07,"State1","100/300",500,1046.58,4000000,"wife","Cust1180"
110302,53,2003-09-13,"State3","500/1000",2000,1712.68,0,"not-in-family","Cust1181"
110303,426,1997-10-24,"State1","500/1000",2000,1097.71,0,"not-in-family","Cust1182"
110304,111,2009-01-04,"State2","250/500",500,1363.77,4000000,"husband","Cust1183"
110305,86,1998-10-12,"State3","100/300",500,1382.88,7000000,"other-relative","Cust1184"
110306,296,1993-02-23,"State3","100/300",1000,1141.35,7000000,"not-in-family","Cust1185"
110307,125,1996-07-07,"State3","500/1000",500,1054.83,7000000,"husband","Cust1186"
110308,177,2013-01-23,"State1","100/300",2000,1057.77,0,"unmarried","Cust1187"
110309,238,2006-12-06,"State2","250/500",2000,1488.02,0,"other-relative","Cust1188"
110310,81,2014-02-23,"State2","100/300",500,920.3,5000000,"own-child","Cust1189"
110311,128,2007-11-16,"State3","500/1000",1000,986.53,0,"other-relative","Cust1190"
110312,449,1999-04-17,"State3","250/500",2000,1440.68,0,"own-child","Cust1191"
110313,252,2006-02-06,"State2","250/500",1000,1086.21,0,"unmarried","Cust1192"
110315,19,2006-01-01,"State3","500/1000",1000,1215.85,0,"husband","Cust1194"
110318,196,1996-01-16,"State2","250/500",2000,1463.07,0,"own-child","Cust1197"
110319,223,2002-04-19,"State3","250/500",500,1734.09,0,"not-in-family","Cust1198"
110321,285,1994-11-07,"State3","100/300",2000,1512.58,0,"other-relative","Cust1200"
110322,30,2012-06-02,"State1","250/500",2000,1153.35,0,"not-in-family","Cust1201"
110323,342,1998-04-07,"State3","250/500",500,1722.95,0,"not-in-family","Cust1202"
110324,219,2007-04-25,"State2","250/500",2000,1281.07,7000000,"unmarried","Cust1203"
110325,468,2000-06-30,"State1","100/300",500,1011.92,0,"wife","Cust1204"
110326,241,1996-06-04,"State1","250/500",2000,1042.26,0,"husband","Cust1205"
110327,223,2009-05-09,"State3","500/1000",500,1235.1,0,"not-in-family","Cust1206"
110329,124,1993-09-20,"State3","500/1000",500,1301.72,0,"husband","Cust1208"
110330,343,2009-11-03,"State2","250/500",500,1451.54,3000000,"husband","Cust1209"
110332,63,1994-01-08,"State3","250/500",2000,1620.89,0,"other-relative","Cust1211"
110334,335,2007-02-07,"State3","100/300",1000,1538.26,6000000,"other-relative","Cust1213"
110335,11,2001-04-09,"State3","500/1000",2000,1217.69,0,"wife","Cust1214"
110336,142,1995-02-17,"State2","100/300",2000,1362.64,5000000,"wife","Cust1215"
110337,272,1995-07-25,"State3","100/300",1000,1279.13,0,"other-relative","Cust1216"
110338,69,2006-03-24,"State1","100/300",2000,924.72,0,"unmarried","Cust1217"
110339,38,1995-03-28,"State3","250/500",1000,1019.44,0,"not-in-family","Cust1218"
110340,328,1996-06-19,"State1","500/1000",500,1314.6,0,"not-in-family","Cust1219"
110341,281,1993-06-16,"State3","100/300",1000,1515.18,6000000,"other-relative","Cust1220"
110342,246,2001-07-11,"State3","250/500",2000,1649.18,0,"other-relative","Cust1221"
110343,298,2008-11-22,"State3","250/500",500,1451.01,0,"own-child","Cust1222"
110344,330,2002-12-28,"State1","500/1000",1000,978.46,0,"husband","Cust1223"
110345,362,2006-01-01,"State1","250/500",500,1198.34,4000000,"wife","Cust1224"
110346,241,1990-05-19,"State2","100/300",2000,1003.23,0,"not-in-family","Cust1225"
110347,245,2013-08-26,"State2","500/1000",2000,1212,0,"unmarried","Cust1226"
110348,371,1997-10-12,"State1","250/500",1000,1242.96,7000000,"own-child","Cust1227"
110349,343,2002-01-21,"State1","500/1000",1000,1053.02,0,"not-in-family","Cust1228"
110351,154,2010-01-28,"State1","250/500",1000,2047.59,0,"other-relative","Cust1230"
110352,166,2014-10-03,"State3","100/300",1000,1083.72,0,"wife","Cust1231"
110353,298,2007-05-02,"State3","500/1000",1000,1138.42,6000000,"own-child","Cust1232"
110355,172,2004-09-19,"State1","100/300",2000,1219.04,0,"own-child","Cust1234"
110357,428,2004-02-04,"State2","100/300",2000,1506.21,0,"unmarried","Cust1236"
110359,107,1997-03-21,"State1","500/1000",2000,932.14,0,"own-child","Cust1238"
110361,151,1992-08-07,"State2","500/1000",1000,1728.56,0,"own-child","Cust1240"
110362,249,2013-09-03,"State1","250/500",1000,1518.46,0,"own-child","Cust1241"
110363,177,2012-01-05,"State1","100/300",2000,1540.19,0,"other-relative","Cust1242"
110364,190,2007-01-27,"State3","500/1000",2000,965.21,0,"other-relative","Cust1243"
110365,174,2005-10-14,"State1","100/300",2000,1278.75,0,"own-child","Cust1244"
110366,95,1990-11-03,"State3","250/500",1000,773.99,0,"other-relative","Cust1245"
110368,2,1999-05-22,"State1","250/500",1000,1340.56,0,"not-in-family","Cust1247"
110369,269,2002-12-21,"State3","100/300",500,1297.75,4000000,"own-child","Cust1248"
110371,94,2002-03-01,"State2","250/500",2000,1025.54,0,"other-relative","Cust1250"
110372,117,2003-04-21,"State3","250/500",500,1264.77,0,"unmarried","Cust1251"
110373,111,2002-09-22,"State3","250/500",500,1459.97,5000000,"other-relative","Cust1252"
110374,242,1998-02-10,"State3","100/300",500,1238.65,0,"husband","Cust1253"
110375,440,1992-09-01,"State3","250/500",500,1050.76,0,"wife","Cust1254"
110378,208,2000-06-18,"State1","250/500",500,1153.49,0,"other-relative","Cust1257"
110379,279,1995-04-24,"State3","500/1000",2000,1281.25,0,"other-relative","Cust1258"
110380,244,2006-06-16,"State1","100/300",500,1342.8,0,"husband","Cust1259"
110381,134,2007-09-28,"State3","250/500",2000,1443.32,0,"unmarried","Cust1260"
110382,122,1991-11-21,"State3","250/500",1000,1629.94,0,"other-relative","Cust1261"
110383,156,1996-09-21,"State1","100/300",2000,1134.08,0,"husband","Cust1262"
110384,232,2001-05-16,"State3","250/500",500,1483.91,8000000,"husband","Cust1263"
110385,244,1999-08-11,"State2","500/1000",2000,1304.67,7000000,"other-relative","Cust1264"
110386,84,2003-06-16,"State1","500/1000",2000,1035.79,0,"wife","Cust1265"
110387,394,1999-03-30,"State1","250/500",500,1401.2,0,"own-child","Cust1266"
110388,246,1999-02-03,"State1","250/500",1000,1665.45,0,"wife","Cust1267"
110390,156,2010-06-28,"State3","100/300",500,1080.13,0,"other-relative","Cust1269"
110392,369,2013-04-15,"State3","250/500",2000,1589.54,0,"husband","Cust1271"
110393,271,1995-12-07,"State1","100/300",1000,1251.65,0,"wife","Cust1272"
110394,332,1991-11-01,"State1","100/300",2000,1083.01,0,"other-relative","Cust1273"
110395,107,2014-05-19,"State3","100/300",500,974.59,0,"wife","Cust1274"
110397,243,2006-02-03,"State2","500/1000",500,1307.74,0,"own-child","Cust1276"
110399,264,2002-10-16,"State3","100/300",500,1411.3,0,"unmarried","Cust1278"
110400,108,1990-01-27,"State1","100/300",2000,694.45,0,"not-in-family","Cust1279"
110401,32,2010-03-11,"State1","100/300",500,1006.77,6000000,"own-child","Cust1280"
110402,259,1995-09-19,"State3","250/500",1000,1422.36,0,"unmarried","Cust1281"
110403,186,2010-02-27,"State2","100/300",1000,1348.32,0,"wife","Cust1282"
110404,201,1991-12-28,"State3","250/500",2000,1315.56,0,"not-in-family","Cust1283"
110406,189,2007-04-28,"State3","250/500",2000,1388.58,0,"own-child","Cust1285"
110407,105,1996-07-08,"State1","500/1000",500,1310.76,0,"not-in-family","Cust1286"
110408,163,2002-04-01,"State2","100/300",1000,1004.63,6000000,"not-in-family","Cust1287"
110409,219,2006-10-29,"State3","100/300",500,1134.91,0,"not-in-family","Cust1288"
110412,284,1995-05-04,"State3","100/300",500,1338.54,-1000000,"wife","Cust1291"
110413,59,2011-09-28,"State1","250/500",2000,782.23,0,"other-relative","Cust1292"
110414,39,2003-01-28,"State1","250/500",2000,1366.9,0,"husband","Cust1293"
110420,194,2012-03-14,"State1","500/1000",500,1416.24,0,"not-in-family","Cust1299"
110422,259,2009-07-05,"State1","100/300",500,947.75,0,"not-in-family","Cust1301"
110424,48,1997-02-03,"State1","100/300",2000,1400.74,0,"other-relative","Cust1303"
110425,267,2009-10-09,"State1","250/500",500,1155.53,5000000,"wife","Cust1304"
110426,286,2002-11-20,"State2","250/500",500,1386.93,0,"husband","Cust1305"
110428,111,2011-01-22,"State1","250/500",500,1239.55,2000000,"own-child","Cust1307"
110429,151,2012-10-18,"State2","250/500",500,1366.42,0,"unmarried","Cust1308"
110430,156,1991-10-13,"State3","500/1000",1000,1086.48,6000000,"unmarried","Cust1309"
110431,165,2010-10-01,"State1","250/500",2000,1247.87,0,"husband","Cust1310"
110432,253,2013-04-10,"State3","100/300",2000,1312.75,0,"other-relative","Cust1311"
110433,10,2008-06-11,"State2","100/300",2000,765.64,0,"not-in-family","Cust1312"
110434,158,2013-12-04,"State3","100/300",2000,1327.41,0,"other-relative","Cust1313"
110435,436,2010-08-21,"State3","500/1000",1000,1338.55,0,"own-child","Cust1314"
110436,91,2010-06-18,"State1","250/500",2000,1316.63,8000000,"unmarried","Cust1315"
110437,256,1992-04-10,"State1","500/1000",1000,1286.44,0,"wife","Cust1316"
110438,274,1997-02-03,"State3","500/1000",1000,1372.18,0,"not-in-family","Cust1317"
110439,275,1991-12-06,"State2","500/1000",2000,1447.77,0,"wife","Cust1318"
110440,1,1995-09-19,"State1","250/500",500,903.32,0,"not-in-family","Cust1319"
110441,85,1993-10-29,"State2","500/1000",1000,1454.42,0,"other-relative","Cust1320"
110442,233,1991-11-03,"State1","100/300",2000,1603.42,0,"wife","Cust1321"
110443,142,2002-07-09,"State2","250/500",2000,1616.58,0,"husband","Cust1322"
110444,266,1999-12-07,"State1","250/500",500,1611.83,0,"husband","Cust1323"
110445,350,2005-07-01,"State3","500/1000",500,889.13,0,"other-relative","Cust1324"
110446,97,1991-11-04,"State1","250/500",1000,1252.08,0,"not-in-family","Cust1325"
110447,399,1993-04-14,"State1","500/1000",2000,995.56,0,"not-in-family","Cust1326"
110448,305,2009-08-23,"State1","100/300",2000,1347.92,0,"own-child","Cust1327"
110449,276,1993-06-18,"State2","100/300",1000,1724.09,0,"own-child","Cust1328"
110450,257,2012-07-17,"State2","250/500",500,1379.93,0,"husband","Cust1329"
110451,78,1999-01-25,"State2","250/500",1000,1554.64,4000000,"own-child","Cust1330"
110452,129,1990-02-23,"State3","500/1000",1000,1377.94,0,"not-in-family","Cust1331"
110454,85,2008-09-03,"State2","250/500",500,1259.02,0,"unmarried","Cust1333"
110455,101,1991-08-02,"State1","500/1000",1000,1371.88,0,"husband","Cust1334"
110458,176,2010-11-20,"State3","250/500",500,1365.46,4000000,"unmarried","Cust1337"
110459,159,1998-08-28,"State1","500/1000",1000,894.4,0,"wife","Cust1338"
110460,120,2002-07-16,"State2","250/500",500,956.69,0,"husband","Cust1339"
110461,212,1990-04-29,"State2","500/1000",2000,1123.89,0,"unmarried","Cust1340"
110462,290,1998-02-01,"State1","100/300",500,1085.03,0,"wife","Cust1341"
110463,299,2008-07-20,"State3","100/300",2000,1437.33,0,"wife","Cust1342"
110464,66,1998-11-13,"State1","250/500",1000,988.29,0,"own-child","Cust1343"
110465,334,2001-05-24,"State1","500/1000",500,1238.89,0,"other-relative","Cust1344"
110466,216,2014-06-03,"State2","100/300",1000,1384.64,5000000,"unmarried","Cust1345"
110467,86,1991-08-22,"State2","100/300",2000,1595.07,0,"unmarried","Cust1346"
110468,429,1998-12-12,"State3","250/500",1000,1127.89,6000000,"own-child","Cust1347"
110469,257,1999-02-18,"State2","500/1000",2000,929.7,6000000,"husband","Cust1348"
110470,15,1997-10-30,"State1","100/300",1000,1829.63,0,"not-in-family","Cust1349"
110472,250,2013-07-07,"State3","500/1000",1000,1243.84,0,"own-child","Cust1351"
110473,270,2003-07-05,"State1","500/1000",2000,1030.95,0,"other-relative","Cust1352"
110474,65,2005-09-21,"State2","100/300",500,1285.03,3000000,"unmarried","Cust1353"
110475,475,1995-02-18,"State3","100/300",500,1216.56,0,"own-child","Cust1354"
110476,77,1999-04-07,"State2","500/1000",2000,966.26,0,"own-child","Cust1355"
110478,229,1997-06-01,"State1","250/500",2000,1212.12,0,"not-in-family","Cust1357"
110480,177,2002-12-30,"State1","100/300",1000,1609.67,0,"wife","Cust1359"
110482,451,1998-06-18,"State2","250/500",2000,1618.65,2000000,"unmarried","Cust1361"
110483,61,1996-02-08,"State2","100/300",500,922.67,0,"other-relative","Cust1362"
110484,150,2004-11-17,"State2","100/300",1000,1342.02,0,"own-child","Cust1363"
110485,283,2012-10-25,"State3","100/300",500,1195.01,0,"own-child","Cust1364"
110486,291,2006-04-13,"State3","500/1000",1000,994.74,0,"own-child","Cust1365"
110487,162,2006-02-21,"State2","100/300",1000,1050.24,0,"wife","Cust1366"
110488,154,2003-12-17,"State1","250/500",2000,1313.51,7000000,"own-child","Cust1367"
110490,10,2014-08-05,"State2","250/500",1000,1185.78,0,"wife","Cust1369"
110491,309,2011-06-05,"State1","500/1000",500,1527.95,0,"other-relative","Cust1370"
110492,396,1992-10-11,"State2","100/300",1000,1366.39,0,"other-relative","Cust1371"
110494,129,2007-05-06,"State1","500/1000",2000,927.23,0,"husband","Cust1373"
110495,140,1997-05-01,"State3","250/500",2000,1554.86,6000000,"wife","Cust1374"
110496,419,1998-01-28,"State1","500/1000",2000,736.07,6000000,"unmarried","Cust1375"
110499,32,2014-11-14,"State3","100/300",2000,1260.32,6000000,"not-in-family","Cust1378"
110500,230,1991-12-14,"State2","100/300",1000,1464.03,0,"own-child","Cust1379"
110501,157,2009-10-21,"State3","100/300",2000,617.11,0,"other-relative","Cust1380"
110503,47,2003-12-31,"State1","500/1000",500,1161.31,0,"other-relative","Cust1382"
110504,113,2008-01-01,"State3","250/500",2000,1091.73,0,"not-in-family","Cust1383"
110506,254,2013-12-18,"State1","250/500",2000,1241.04,0,"own-child","Cust1385"
110507,115,2000-08-24,"State3","500/1000",500,1757.21,0,"wife","Cust1386"
110508,236,1992-10-14,"State3","250/500",1000,802.24,0,"not-in-family","Cust1387"
110509,7,1991-11-16,"State2","500/1000",1000,1342.72,0,"wife","Cust1388"
110510,208,1995-10-08,"State3","100/300",2000,1209.41,5000000,"wife","Cust1389"
110511,126,2007-10-28,"State3","500/1000",1000,1141.71,2000000,"own-child","Cust1390"
110514,160,2012-05-10,"State3","100/300",1000,1118.58,0,"husband","Cust1393"
110516,157,1990-08-02,"State2","500/1000",500,1257.83,7000000,"own-child","Cust1395"
110520,6,1992-08-05,"State3","250/500",500,1075.71,0,"unmarried","Cust1399"
110521,103,1993-01-22,"State2","100/300",1000,969.88,6000000,"own-child","Cust1400"
110522,369,1995-05-20,"State3","250/500",2000,1459.93,0,"not-in-family","Cust1401"
110523,261,1992-09-24,"State1","500/1000",1000,1245.61,0,"own-child","Cust1402"
110524,159,2007-07-20,"State2","100/300",2000,1462.76,0,"husband","Cust1403"
110525,344,1992-04-28,"State2","100/300",2000,1398.46,0,"other-relative","Cust1404"
110526,437,1998-01-19,"State3","500/1000",1000,1269.64,0,"unmarried","Cust1405"
110528,280,1994-12-18,"State3","500/1000",2000,1140.31,0,"husband","Cust1407"
110530,275,1991-11-20,"State3","250/500",2000,1190.6,0,"unmarried","Cust1409"
110531,265,1998-10-28,"State3","250/500",500,972.5,0,"unmarried","Cust1410"
110533,84,2003-04-09,"State3","250/500",1000,1117.17,0,"not-in-family","Cust1412"
110534,247,1992-02-04,"State3","250/500",2000,1101.51,0,"not-in-family","Cust1413"
110536,210,1997-06-21,"State3","500/1000",1000,984.45,0,"unmarried","Cust1415"
110537,108,2006-09-07,"State3","500/1000",2000,1257,4000000,"unmarried","Cust1416"
110538,328,2001-10-01,"State3","500/1000",500,1434.51,0,"wife","Cust1417"
110542,208,2014-06-24,"State2","100/300",1000,1134.68,0,"husband","Cust1421"
110543,147,1992-10-02,"State2","250/500",1000,1306.78,0,"other-relative","Cust1422"
