"CustomerID","VehicleAttribute","VehicleAttributeDetails"
"Cust36869","VehicleYOM","2010"
"Cust35131","VehicleYOM","2010"
"Cust19404","VehicleModel","95"
"Cust19979","VehicleModel","TL"
"Cust38460","VehicleModel","Grand Cherokee"
"Cust28825","VehicleModel","F150"
"Cust20213","VehicleMake","Toyota"
"Cust4857","VehicleMake","Dodge"
"Cust31956","VehicleModel","RAM"
"Cust22451","VehicleYOM","2000"
"Cust18319","VehicleID","Vehicle36523"
"Cust19867","VehicleMake","Audi"
"Cust25732","VehicleYOM","2010"
"Cust26183","VehicleYOM","2011"
"Cust28933","VehicleID","Vehicle29403"
"Cust25829","VehicleMake","Honda"
"Cust22778","VehicleYOM","2009"
"Cust8291","VehicleModel","Passat"
"Cust15442","VehicleID","Vehicle16202"
"Cust27558","VehicleMake","Nissan"
"Cust19135","VehicleMake","Accura"
"Cust37018","VehicleID","Vehicle13704"
"Cust13863","VehicleYOM","2005"
"Cust33797","VehicleID","Vehicle27884"
"Cust32726","VehicleMake","Saab"
"Cust36612","VehicleYOM","2008"
"Cust5982","VehicleModel","Forrestor"
"Cust28886","VehicleID","Vehicle33899"
"Cust14222","VehicleYOM","2008"
"Cust13798","VehicleMake","Jeep"
"Cust28532","VehicleID","Vehicle38278"
"Cust5416","VehicleID","Vehicle18910"
"Cust4990","VehicleModel","Silverado"
"Cust26544","VehicleMake","Ford"
"Cust34357","VehicleID","Vehicle23592"
"Cust10644","VehicleID","Vehicle10194"
"Cust27952","VehicleModel","Neon"
"Cust27470","VehicleMake","Volkswagen"
"Cust11547","VehicleModel","TL"
"Cust7460","VehicleID","Vehicle13152"
"Cust36116","VehicleMake","Accura"
"Cust27194","VehicleID","Vehicle23889"
"Cust30473","VehicleModel","Corolla"
"Cust5277","VehicleYOM","1996"
"Cust24534","VehicleModel","X5"
"Cust36582","VehicleID","Vehicle19345"
"Cust23024","VehicleModel","Impreza"
"Cust7786","VehicleMake","Toyota"
"Cust29443","VehicleID","Vehicle32610"
"Cust22527","VehicleYOM","2009"
"Cust6590","VehicleID","Vehicle37318"
"Cust14374","VehicleMake","Mercedes"
"Cust2934","VehicleMake","Saab"
"Cust39319","VehicleMake","Accura"
"Cust8014","VehicleModel","X5"
"Cust4213","VehicleYOM","2007"
"Cust10877","VehicleID","Vehicle26154"
"Cust5033","VehicleID","Vehicle9007"
"Cust18302","VehicleMake","Suburu"
"Cust36826","VehicleMake","BMW"
"Cust21138","VehicleMake","Audi"
"Cust4055","VehicleYOM","2003"
"Cust18795","VehicleModel","Maxima"
"Cust5950","VehicleMake","Volkswagen"
"Cust4078","VehicleID","Vehicle26842"
"Cust11793","VehicleMake","Audi"
"Cust16438","VehicleModel","Maxima"
"Cust10750","VehicleModel","Pathfinder"
"Cust17616","VehicleModel","92x"
"Cust14073","VehicleYOM","1999"
"Cust33959","VehicleID","Vehicle4907"
"Cust14020","VehicleModel","A3"
"Cust4614","VehicleYOM","2000"
"Cust10664","VehicleModel","RAM"
"Cust38133","VehicleID","Vehicle17147"
"Cust16138","VehicleMake","Jeep"
"Cust3878","VehicleYOM","2001"
"Cust36885","VehicleYOM","2007"
"Cust22584","VehicleModel","X6"
"Cust6584","VehicleModel","95"
"Cust29890","VehicleID","Vehicle22801"
"Cust30193","VehicleMake","Dodge"
"Cust6111","VehicleID","Vehicle35555"
"Cust17123","VehicleMake","Volkswagen"
"Cust11786","VehicleModel","X6"
"Cust2127","VehicleYOM","2006"
"Cust29248","VehicleMake","Audi"
"Cust18345","VehicleModel","Tahoe"
"Cust28988","VehicleModel","Tahoe"
"Cust7141","VehicleYOM","2009"
"Cust33402","VehicleID","Vehicle26916"
"Cust20364","VehicleModel","RAM"
"Cust18330","VehicleMake","Chevrolet"
"Cust39191","VehicleID","Vehicle34216"
"Cust9803","VehicleYOM","2007"
"Cust38257","VehicleYOM","2011"
"Cust1304","VehicleModel","F150"
"Cust31400","VehicleID","Vehicle14434"
"Cust28833","VehicleID","Vehicle1923"
"Cust6472","VehicleYOM","2001"
"Cust34770","VehicleID","Vehicle21212"
"Cust9725","VehicleMake","Chevrolet"
"Cust34214","VehicleID","Vehicle25920"
"Cust6079","VehicleYOM","2001"
"Cust19017","VehicleID","Vehicle11768"
"Cust16118","VehicleID","Vehicle33620"
"Cust22761","VehicleID","Vehicle18964"
"Cust27786","VehicleModel","MDX"
"Cust22240","VehicleYOM","2012"
"Cust26382","VehicleID","Vehicle12786"
"Cust23338","VehicleYOM","2003"
"Cust19782","VehicleID","Vehicle23205"
"Cust33262","VehicleMake","Suburu"
"Cust17970","VehicleMake","Accura"
"Cust5415","VehicleYOM","2012"
"Cust3513","VehicleYOM","2003"
"Cust37914","VehicleYOM","1999"
"Cust26014","VehicleModel","A3"
"Cust10474","VehicleYOM","2011"
"Cust27089","VehicleMake","Chevrolet"
"Cust19833","VehicleMake","Dodge"
"Cust32287","VehicleModel","Passat"
"Cust5902","VehicleYOM","2002"
"Cust33818","VehicleID","Vehicle5822"
"Cust15758","VehicleMake","Honda"
"Cust32342","VehicleModel","Legacy"
"Cust10246","VehicleID","Vehicle5783"
"Cust3955","VehicleID","Vehicle9143"
"Cust10081","VehicleID","Vehicle22413"
"Cust39361","VehicleID","Vehicle14194"
"Cust1559","VehicleMake","Saab"
"Cust23188","VehicleID","Vehicle34038"
"Cust36853","VehicleModel","TL"
"Cust30350","VehicleModel","Maxima"
"Cust12659","VehicleMake","Saab"
"Cust12854","VehicleModel","Fusion"
"Cust37502","VehicleMake","Audi"
"Cust34519","VehicleModel","93"
"Cust20430","VehicleModel","Impreza"
"Cust34318","VehicleMake","Nissan"
"Cust24952","VehicleID","Vehicle6730"
"Cust29738","VehicleModel","Forrestor"
"Cust4774","VehicleYOM","1998"
"Cust37663","VehicleID","Vehicle36366"
"Cust38352","VehicleYOM","2013"
"Cust23273","VehicleModel","ML350"
"Cust26178","VehicleModel","Corolla"
"Cust4710","VehicleModel","Grand Cherokee"
"Cust27146","VehicleID","Vehicle29492"
"Cust1845","VehicleYOM","2014"
"Cust10836","VehicleYOM","2000"
"Cust35359","VehicleMake","Toyota"
"Cust6909","VehicleModel","Jetta"
"Cust14063","VehicleID","Vehicle39634"
"Cust16726","VehicleID","Vehicle17034"
"Cust26916","VehicleYOM","1997"
"Cust12445","VehicleYOM","1999"
"Cust13034","VehicleMake","Nissan"
"Cust5973","VehicleModel","Highlander"
"Cust5004","VehicleModel","RAM"
"Cust36565","VehicleModel","Tahoe"
"Cust39394","VehicleYOM","1997"
"Cust34058","VehicleYOM","2010"
"Cust35635","VehicleYOM","2003"
"Cust7787","VehicleMake","Accura"
"Cust31687","VehicleModel","93"
"Cust12318","VehicleMake","Dodge"
"Cust36164","VehicleYOM","2011"
"Cust1388","VehicleMake","Honda"
"Cust22786","VehicleModel","Tahoe"
"Cust5148","VehicleMake","Ford"
"Cust9588","VehicleYOM","2003"
"Cust36969","VehicleModel","MDX"
"Cust36984","VehicleModel","Jetta"
"Cust32258","VehicleModel","CRV"
"Cust37184","VehicleModel","TL"
"Cust23635","VehicleID","Vehicle31512"
"Cust34790","VehicleModel","Highlander"
"Cust20867","VehicleID","Vehicle4341"
"Cust33056","VehicleMake","Suburu"
"Cust2410","VehicleYOM","2013"
"Cust31711","VehicleModel","Malibu"
"Cust25004","VehicleYOM","2012"
"Cust24477","VehicleMake","Honda"
"Cust39385","VehicleYOM","2000"
"Cust25104","VehicleMake","Volkswagen"
"Cust25407","VehicleModel","Accord"
"Cust9949","VehicleModel","X6"
"Cust11275","VehicleYOM","2007"
"Cust6077","VehicleMake","Dodge"
"Cust24742","VehicleModel","Jetta"
"Cust32159","VehicleYOM","2001"
"Cust23205","VehicleModel","Highlander"
"Cust29010","VehicleMake","Saab"
"Cust30803","VehicleModel","Forrestor"
"Cust4662","VehicleMake","Dodge"
"Cust38114","VehicleModel","Camry"
"Cust11096","VehicleYOM","2007"
"Cust30456","VehicleID","Vehicle2935"
"Cust36890","VehicleYOM","1997"
"Cust30909","VehicleID","Vehicle16714"
"Cust20155","VehicleID","Vehicle30456"
"Cust36919","VehicleMake","Mercedes"
"Cust16102","VehicleID","Vehicle21090"
"Cust6951","VehicleMake","Mercedes"
"Cust18028","VehicleID","Vehicle30740"
"Cust10967","VehicleYOM","1998"
"Cust22010","VehicleYOM","2014"
"Cust8628","VehicleYOM","2009"
"Cust30607","VehicleID","Vehicle1634"
"Cust24221","VehicleYOM","2005"
"Cust31026","VehicleModel","Maxima"
"Cust17363","VehicleYOM","1999"
"Cust17907","VehicleModel","Corolla"
"Cust26402","VehicleModel","TL"
"Cust32377","VehicleMake","Suburu"
"Cust28661","VehicleModel","E400"
"Cust2097","VehicleID","Vehicle23581"
"Cust17373","VehicleID","Vehicle35080"
"Cust12851","VehicleID","Vehicle7758"
"Cust1390","VehicleID","Vehicle3450"
"Cust3701","VehicleYOM","2005"
"Cust29954","VehicleID","Vehicle19381"
"Cust5654","VehicleID","Vehicle16035"
"Cust3864","VehicleYOM","2012"
"Cust11759","VehicleYOM","2008"
"Cust15127","VehicleYOM","2003"
"Cust32110","VehicleYOM","2010"
"Cust37071","VehicleModel","CRV"
"Cust18702","VehicleMake","Volkswagen"
"Cust30509","VehicleID","Vehicle23583"
"Cust12964","VehicleMake","Ford"
"Cust22216","VehicleMake","Nissan"
"Cust35096","VehicleYOM","2004"
"Cust20328","VehicleID","Vehicle20434"
"Cust16547","VehicleYOM","2014"
"Cust7244","VehicleModel","F150"
"Cust3461","VehicleYOM","1998"
"Cust18266","VehicleYOM","1997"
"Cust37438","VehicleMake","Mercedes"
"Cust39301","VehicleMake","Mercedes"
"Cust1387","VehicleID","Vehicle33917"
"Cust12357","VehicleID","Vehicle30960"
"Cust9023","VehicleID","Vehicle31377"
"Cust31058","VehicleMake","Suburu"
"Cust13651","VehicleYOM","1999"
"Cust35657","VehicleModel","92x"
"Cust30708","VehicleID","Vehicle17524"
"Cust24468","VehicleYOM","2013"
"Cust23190","VehicleMake","Saab"
"Cust5292","VehicleModel","E400"
"Cust19398","VehicleMake","Suburu"
"Cust14713","VehicleYOM","2014"
"Cust34681","VehicleMake","Honda"
"Cust4362","VehicleModel","Accord"
"Cust7628","VehicleModel","93"
"Cust37937","VehicleModel","Neon"
"Cust12557","VehicleMake","Volkswagen"
"Cust37557","VehicleYOM","1999"
"Cust18344","VehicleMake","Jeep"
"Cust9481","VehicleID","Vehicle32221"
"Cust3624","VehicleID","Vehicle3530"
"Cust5645","VehicleID","Vehicle33134"
"Cust31099","VehicleMake","Suburu"
"Cust35670","VehicleYOM","2012"
"Cust11304","VehicleMake","Mercedes"
"Cust23959","VehicleID","Vehicle3905"
"Cust2362","VehicleModel","Grand Cherokee"
"Cust20827","VehicleID","Vehicle30701"
"Cust30339","VehicleYOM","2011"
"Cust23906","VehicleID","Vehicle37477"
"Cust32784","VehicleMake","Ford"
"Cust27711","VehicleYOM","2002"
"Cust1325","VehicleMake","Honda"
"Cust31239","VehicleModel","Passat"
"Cust18956","VehicleMake","Saab"
"Cust25352","VehicleYOM","2009"
"Cust18823","VehicleID","Vehicle7629"
"Cust10025","VehicleMake","Dodge"
"Cust32024","VehicleMake","Nissan"
"Cust14871","VehicleModel","X5"
"Cust32346","VehicleModel","Escape"
"Cust35407","VehicleModel","3 Series"
"Cust36413","VehicleID","Vehicle37927"
"Cust33911","VehicleID","Vehicle23346"
"Cust13420","VehicleID","Vehicle7606"
"Cust13721","VehicleModel","TL"
"Cust31009","VehicleID","Vehicle32821"
"Cust24188","VehicleID","Vehicle26313"
"Cust18884","VehicleMake","Toyota"
"Cust5223","VehicleID","Vehicle14243"
"Cust4605","VehicleYOM","2005"
"Cust7546","VehicleModel","Camry"
"Cust2061","VehicleYOM","2008"
"Cust16192","VehicleModel","Jetta"
"Cust36685","VehicleYOM","1996"
"Cust30822","VehicleID","Vehicle26576"
"Cust39036","VehicleID","Vehicle37784"
"Cust10001","VehicleYOM","2006"
"Cust24531","VehicleModel","Ultima"
"Cust33412","VehicleMake","Mercedes"
"Cust21045","VehicleYOM","2004"
"Cust10246","VehicleYOM","2006"
"Cust35763","VehicleYOM","2006"
"Cust20087","VehicleYOM","2001"
"Cust34735","VehicleYOM","2010"
"Cust8273","VehicleYOM","2006"
"Cust32055","VehicleID","Vehicle38032"
"Cust20709","VehicleMake","Saab"
"Cust21840","VehicleModel","3 Series"
"Cust5883","VehicleModel","Camry"
"Cust30948","VehicleMake","Mercedes"
"Cust11724","VehicleModel","RAM"
"Cust22770","VehicleMake","Ford"
"Cust27921","VehicleYOM","1999"
"Cust7720","VehicleMake","Toyota"
"Cust3533","VehicleYOM","2007"
"Cust6191","VehicleYOM","2009"
"Cust28564","VehicleYOM","2004"
"Cust7450","VehicleYOM","2010"
"Cust13248","VehicleMake","Audi"
"Cust1648","VehicleYOM","2003"
"Cust27988","VehicleID","Vehicle28066"
"Cust38133","VehicleModel","Corolla"
"Cust29519","VehicleMake","Nissan"
"Cust1497","VehicleMake","Accura"
"Cust37310","VehicleYOM","2004"
"Cust6486","VehicleModel","F150"
"Cust14597","VehicleID","Vehicle36586"
"Cust32928","VehicleModel","Corolla"
"Cust2530","VehicleModel","Neon"
"Cust30115","VehicleID","Vehicle4328"
"Cust25074","VehicleYOM","2007"
"Cust17595","VehicleMake","Accura"
"Cust11363","VehicleYOM","2002"
"Cust1441","VehicleModel","Neon"
"Cust2251","VehicleID","Vehicle8365"
"Cust32932","VehicleMake","Audi"
"Cust15350","VehicleModel","Camry"
"Cust26130","VehicleMake","Volkswagen"
"Cust38777","VehicleYOM","2007"
"Cust27966","VehicleMake","Honda"
"Cust26479","VehicleID","Vehicle18743"
"Cust28060","VehicleMake","Volkswagen"
"Cust25185","VehicleMake","Ford"
"Cust37428","VehicleMake","Volkswagen"
"Cust32876","VehicleMake","Toyota"
"Cust7769","VehicleMake","Toyota"
"Cust6041","VehicleModel","Highlander"
"Cust16529","VehicleModel","Pathfinder"
"Cust36765","VehicleMake","Chevrolet"
"Cust2594","VehicleModel","X6"
"Cust12573","VehicleModel","RSX"
"Cust5659","VehicleYOM","2007"
"Cust20381","VehicleModel","93"
"Cust2073","VehicleID","Vehicle19190"
"Cust25894","VehicleModel","Wrangler"
"Cust22555","VehicleYOM","2005"
"Cust3421","VehicleModel","Jetta"
"Cust33905","VehicleMake","Accura"
"Cust15762","VehicleYOM","2008"
"Cust7519","VehicleYOM","2000"
"Cust39267","VehicleID","Vehicle6432"
"Cust31220","VehicleModel","Wrangler"
"Cust22522","VehicleModel","Escape"
"Cust6385","VehicleModel","Grand Cherokee"
"Cust36743","VehicleModel","Escape"
"Cust9699","VehicleModel","E400"
"Cust34311","VehicleID","Vehicle3223"
"Cust22570","VehicleMake","Nissan"
"Cust6581","VehicleID","Vehicle5420"
"Cust24804","VehicleModel","Fusion"
"Cust8697","VehicleModel","93"
"Cust38525","VehicleYOM","1999"
"Cust25615","VehicleID","Vehicle19030"
"Cust25236","VehicleID","Vehicle36388"
"Cust25372","VehicleYOM","2001"
"Cust30431","VehicleID","Vehicle29780"
"Cust27631","VehicleYOM","2014"
"Cust24010","VehicleModel","Neon"
"Cust19856","VehicleID","Vehicle8421"
"Cust6850","VehicleModel","ML350"
"Cust36702","VehicleModel","Escape"
"Cust38609","VehicleID","Vehicle7765"
"Cust33132","VehicleID","Vehicle10199"
"Cust30762","VehicleID","Vehicle30932"
"Cust25398","VehicleModel","F150"
"Cust18039","VehicleYOM","2009"
"Cust32917","VehicleID","Vehicle29649"
"Cust13176","VehicleMake","Toyota"
"Cust12444","VehicleID","Vehicle17597"
"Cust21043","VehicleMake","Jeep"
"Cust27140","VehicleID","Vehicle17069"
"Cust30707","VehicleID","Vehicle35495"
"Cust33167","VehicleMake","Accura"
"Cust2580","VehicleID","Vehicle30586"
"Cust3051","VehicleYOM","1997"
"Cust22878","VehicleID","Vehicle4222"
"Cust22705","VehicleYOM","2002"
"Cust33889","VehicleModel","Maxima"
"Cust29121","VehicleYOM","2006"
"Cust15089","VehicleID","Vehicle38683"
"Cust13371","VehicleID","Vehicle2782"
