CustomerID,DateOfIncident,TypeOfIncident,TypeOfCollission,SeverityOfIncident,AuthoritiesContacted,IncidentState,IncidentCity,IncidentAddress,IncidentTime,NumberOfVehicles,PropertyDamage,BodilyInjuries,Witnesses,PoliceReport,AmountOfTotalClaim,AmountOfInjuryClaim,AmountOfPropertyClaim,AmountOfVehicleDamage
Cust1005,17-02-2015,Vehicle Theft,?,Minor Damage,None,State5,City1,Location 1518,20,1,NO,0,1,NO,6500,1300,650,4550
Cust10051,23-02-2015,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,State9,City5,Location 1302,16,1,YES,0,1,?,66757,16656,5574,44527
Cust10052,12-02-2015,Multi-vehicle Collision,Rear Collision,Total Loss,Other,State5,City5,Location 1690,20,2,?,1,2,YES,66269,8756,6965,50548
Cust10053,15-01-2015,Multi-vehicle Collision,Front Collision,Total Loss,Other,State5,City5,Location 1690,18,3,?,1,1,?,74320,12593,7019,54708
Cust10054,13-02-2015,Multi-vehicle Collision,Side Collision,Total Loss,Other,State5,City2,Location 1469,16,2,?,0,1,?,71670,9685,13031,48954
Cust10057,06-01-2015,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,State9,City5,Location 1593,12,1,YES,1,2,?,47725,5410,5410,36905
Cust10058,29-01-2015,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,State9,City1,Location 1231,1,1,YES,0,2,NO,48166,9582,4919,33665
Cust10059,26-01-2015,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,State9,City1,Location 1231,1,1,YES,0,2,NO,47524,9313,5136,33075
Cust1006,02-01-2015,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,State7,City1,Location 2051,19,3,NO,0,2,NO,64100,6410,6410,51280
Cust10061,19-01-2015,Multi-vehicle Collision,Side Collision,Total Loss,Fire,State5,City1,Location 1362,17,3,?,0,0,NO,53298,5922,5922,41454
Cust10063,22-02-2015,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,State5,City2,Location 1916,7,3,NO,2,3,NO,35260,7610,4082,23568
Cust10064,02-01-2015,Multi-vehicle Collision,Side Collision,Total Loss,Other,State3,City3,Location 1179,15,3,?,1,2,?,65057,10493,5509,49055
Cust10065,11-02-2015,Multi-vehicle Collision,Side Collision,Total Loss,Other,State3,City3,Location 1404,18,3,?,0,1,?,62274,7930,5802,48542
Cust10067,16-01-2015,Vehicle Theft,?,Minor Damage,None,State7,City5,Location 1842,8,1,YES,1,0,NO,5892,857,857,4178
Cust10068,07-01-2015,Single Vehicle Collision,Side Collision,Major Damage,Other,State4,City6,Location 1834,12,2,NO,1,0,?,72236,6020,12039,54177
Cust1007,13-01-2015,Multi-vehicle Collision,Front Collision,Minor Damage,Police,State5,City7,Location 1986,0,3,?,0,0,?,78650,21450,7150,50050
Cust10072,21-02-2015,Parked Car,?,Trivial Damage,Police,State9,City2,Location 1943,6,1,?,1,2,YES,5002,842,790,3370
Cust10073,17-02-2015,Parked Car,?,Trivial Damage,Police,State9,City2,Location 1943,7,1,?,0,1,YES,3197,581,292,2324
Cust10076,13-02-2015,Multi-vehicle Collision,Front Collision,Major Damage,Police,State9,City5,Location 1345,11,2,YES,1,3,NO,72016,7012,11466,53538
Cust10078,14-02-2015,Single Vehicle Collision,Front Collision,Total Loss,Other,State5,City1,Location 1326,9,1,YES,1,0,?,59390,9326,9326,40738
Cust10079,15-02-2015,Single Vehicle Collision,Front Collision,Total Loss,Other,State4,City2,Location 1326,7,1,YES,2,1,?,59044,9506,9506,40032
Cust10080,06-01-2015,Single Vehicle Collision,Side Collision,Total Loss,Ambulance,State8,City3,Location 1090,13,1,?,0,2,?,76476,12867,13905,49704
Cust10081,02-02-2015,Single Vehicle Collision,Side Collision,Total Loss,Ambulance,State4,City3,Location 1353,14,1,?,0,2,NO,82240,8027,14953,59260
Cust10082,12-02-2015,Multi-vehicle Collision,Side Collision,Total Loss,Police,State9,City1,Location 1703,4,3,?,2,3,NO,75142,14119,9333,51690
Cust10083,14-02-2015,Multi-vehicle Collision,Side Collision,Total Loss,Fire,State9,City1,Location 1863,5,3,?,2,3,NO,77942,15226,8519,54197
Cust10084,26-02-2015,Multi-vehicle Collision,Rear Collision,Major Damage,Police,State8,City1,Location 1517,13,3,?,0,3,YES,65046,8094,8094,48858
Cust10085,26-02-2015,Multi-vehicle Collision,Rear Collision,Major Damage,Police,State8,City1,Location 1838,13,3,?,0,3,YES,68635,7632,7632,53371
Cust10086,20-01-2015,Multi-vehicle Collision,Side Collision,Total Loss,Police,State9,City3,Location 1966,3,2,?,1,0,NO,33374,3207,6413,23754
Cust10087,24-01-2015,Multi-vehicle Collision,Side Collision,Total Loss,Police,State8,City3,Location 1767,0,1,?,2,1,NO,45221,4507,9013,31701
Cust10088,08-01-2015,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,State7,City6,Location 1482,17,1,?,1,3,YES,52699,7743,9990,34966
Cust10089,11-01-2015,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,State7,City6,Location 1892,18,1,?,1,2,YES,71970,7504,14326,50140
Cust1009,30-01-2015,Single Vehicle Collision,Front Collision,Total Loss,Police,State9,City1,Location 2001,21,1,NO,1,1,YES,27700,2770,2770,22160
Cust10090,14-02-2015,Vehicle Theft,?,Trivial Damage,None,State4,City7,Location 1620,11,1,?,2,2,NO,5510,955,661,3894
Cust10091,15-01-2015,Vehicle Theft,?,Trivial Damage,None,State4,City7,Location 1620,9,1,?,2,2,NO,4957,797,642,3518
Cust10092,17-01-2015,Vehicle Theft,?,Minor Damage,None,State9,City1,Location 1320,5,1,?,1,2,NO,6992,1316,658,5018
Cust10093,17-01-2015,Parked Car,?,Minor Damage,None,State9,City1,Location 1807,6,1,?,1,2,?,6744,1313,656,4775
Cust10094,13-02-2015,Parked Car,?,Trivial Damage,Police,State7,City1,Location 1842,8,1,YES,2,0,YES,6820,751,1240,4829
Cust10096,09-02-2015,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,State5,City6,Location 1104,15,3,NO,2,1,YES,75675,9335,9335,57005
Cust10097,09-02-2015,Multi-vehicle Collision,Front Collision,Minor Damage,Other,State5,City6,Location 1177,15,3,?,2,1,NO,75235,9495,9495,56245
Cust10098,27-02-2015,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,State4,City4,Location 1574,4,3,?,2,1,YES,51069,10499,6014,34556
Cust10099,21-02-2015,Multi-vehicle Collision,Front Collision,Major Damage,Fire,State6,City4,Location 1756,10,3,?,1,2,?,93903,7920,15613,70370
Cust1010,05-01-2015,Single Vehicle Collision,Rear Collision,Total Loss,Other,State4,City3,Location 1089,14,1,NO,2,1,?,42300,4700,4700,32900
Cust10101,03-01-2015,Vehicle Theft,?,Minor Damage,None,State4,City1,Location 1942,5,1,YES,1,2,?,7347,735,803,5809
Cust10104,24-02-2015,Multi-vehicle Collision,Rear Collision,Total Loss,Police,State5,City4,Location 2078,18,2,NO,0,2,NO,64505,9156,7907,47442
Cust10105,25-02-2015,Single Vehicle Collision,Rear Collision,Total Loss,Police,State6,City4,Location 2078,15,3,NO,0,2,NO,48856,9668,5598,33590
Cust10107,19-01-2015,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,State5,City7,Location 1523,21,1,YES,2,3,YES,51086,6620,8706,35760
Cust10108,08-01-2015,Vehicle Theft,?,Trivial Damage,Police,State9,City4,Location 1858,4,1,NO,0,2,NO,7033,717,1221,5095
Cust10109,07-01-2015,Vehicle Theft,?,Trivial Damage,Police,State4,City4,Location 1582,5,1,NO,0,2,?,6778,753,1130,4895
Cust1011,06-01-2015,Single Vehicle Collision,Front Collision,Total Loss,Police,State5,City4,Location 1441,22,1,YES,2,2,?,87010,7910,15820,63280
Cust10110,23-02-2015,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,State5,City7,Location 2077,5,1,YES,2,0,?,93335,11903,14359,67073
Cust10111,24-02-2015,Single Vehicle Collision,Side Collision,Minor Damage,Other,State5,City7,Location 1131,6,1,NO,2,0,?,95361,14225,14671,66465
Cust10112,11-01-2015,Single Vehicle Collision,Rear Collision,Major Damage,Police,State7,City5,Location 1935,17,1,NO,2,0,?,57180,6319,6630,44231
Cust10113,12-01-2015,Single Vehicle Collision,Rear Collision,Major Damage,Police,State7,City4,Location 1935,17,1,NO,2,0,?,58196,6370,7236,44590
Cust10114,18-01-2015,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,State5,City1,Location 1460,16,1,?,1,1,NO,68607,9575,12967,46065
Cust10117,08-02-2015,Single Vehicle Collision,Front Collision,Total Loss,Other,State9,City3,Location 1524,21,1,?,1,1,?,72285,9362,9362,53561
Cust1012,15-02-2015,Multi-vehicle Collision,Front Collision,Major Damage,Fire,State7,City7,Location 1773,21,3,YES,1,2,YES,114920,17680,17680,79560
Cust10120,03-02-2015,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,State9,City1,Location 1824,4,1,YES,1,1,?,47365,6609,6609,34147
Cust10121,03-02-2015,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,State9,City1,Location 1824,4,1,YES,1,1,?,46366,6682,6682,33002
Cust10123,21-02-2015,Single Vehicle Collision,Side Collision,Minor Damage,Police,State4,City3,Location 1597,19,1,?,1,0,NO,57641,7705,6033,43903
Cust10124,06-01-2015,Single Vehicle Collision,Front Collision,Total Loss,Fire,State5,City2,Location 1500,5,1,YES,2,2,?,57210,6943,10395,39872
Cust10125,07-01-2015,Single Vehicle Collision,Front Collision,Total Loss,Fire,State5,City2,Location 1500,6,1,YES,2,2,?,57394,7111,10303,39980
Cust10126,15-01-2015,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,State3,City1,Location 2074,14,3,YES,0,1,YES,47263,8306,4631,34326
Cust10127,14-02-2015,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,State9,City1,Location 1330,15,4,YES,1,2,YES,55162,6927,5174,43061
Cust10128,24-02-2015,Multi-vehicle Collision,Side Collision,Total Loss,Other,State8,City2,Location 1286,22,3,?,0,0,YES,54679,9709,284,44686
Cust10129,28-02-2015,Single Vehicle Collision,Side Collision,Total Loss,Other,State8,City2,Location 1677,12,1,?,1,0,YES,61577,6232,6067,49278
Cust1013,22-01-2015,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,State7,City4,Location 1958,9,1,YES,1,0,NO,56520,4710,9420,42390
Cust10131,19-02-2015,Single Vehicle Collision,Front Collision,Minor Damage,Other,State5,City2,Location 1346,7,1,?,2,3,YES,54547,8616,7748,38183
Cust10133,25-02-2015,Single Vehicle Collision,Rear Collision,Major Damage,Fire,State4,City3,Location 1756,5,3,?,2,1,?,49678,10132,5520,34026
Cust10135,15-02-2015,Single Vehicle Collision,Side Collision,Total Loss,Ambulance,State6,City4,Location 1958,6,1,NO,1,0,NO,72450,7192,7457,57801
Cust10136,19-02-2015,Single Vehicle Collision,Rear Collision,Major Damage,Fire,State4,City6,Location 1944,8,1,?,1,2,?,48239,5360,5360,37519
Cust10137,25-02-2015,Single Vehicle Collision,Rear Collision,Major Damage,Fire,State6,City6,Location 1361,6,1,?,1,2,?,42281,4698,4698,32885
Cust10138,17-01-2015,Vehicle Theft,?,Trivial Damage,Police,State4,City3,Location 1586,5,1,NO,1,1,NO,4707,777,606,3324
Cust1014,08-01-2015,Parked Car,?,Minor Damage,None,State7,City7,Location 2096,5,1,NO,1,1,NO,7280,1120,1120,5040
Cust10140,10-01-2015,Parked Car,?,Trivial Damage,None,State8,City3,Location 1573,8,1,YES,2,1,YES,5867,810,562,4495
Cust10141,15-02-2015,Parked Car,?,Trivial Damage,None,State8,City3,Location 1573,7,1,YES,2,1,YES,5847,943,545,4359
Cust10142,11-02-2015,Single Vehicle Collision,Rear Collision,Total Loss,Other,State5,City2,Location 1655,16,1,NO,0,2,NO,55734,8414,8414,38906
Cust10143,13-02-2015,Single Vehicle Collision,Rear Collision,Total Loss,Fire,State5,City2,Location 1498,15,1,NO,0,2,YES,56208,7808,7808,40592
Cust10144,15-02-2015,Multi-vehicle Collision,Front Collision,Total Loss,Other,State4,City3,Location 1409,13,3,NO,1,3,NO,50642,9916,5489,35237
Cust10145,15-02-2015,Multi-vehicle Collision,Front Collision,Major Damage,Fire,State4,City3,Location 1409,15,3,NO,1,3,NO,62687,11356,8632,42699
Cust10146,24-01-2015,Parked Car,?,Minor Damage,None,State9,City2,Location 1654,6,1,NO,2,0,?,3991,497,714,2780
Cust10148,18-02-2015,Vehicle Theft,?,Minor Damage,None,State4,City7,Location 1439,7,1,NO,0,0,?,7259,738,1449,5072
Cust10149,18-02-2015,Parked Car,?,Minor Damage,None,State4,City1,Location 1953,7,1,NO,0,0,?,6868,731,1364,4773
Cust1015,15-01-2015,Single Vehicle Collision,Rear Collision,Total Loss,Police,State7,City7,Location 1995,12,1,NO,0,2,YES,46200,4200,8400,33600
Cust10150,22-01-2015,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,State5,City7,Location 1523,21,1,YES,1,2,YES,52528,8058,7700,36770
Cust10152,22-02-2015,Single Vehicle Collision,Front Collision,Minor Damage,Fire,State5,City6,Location 1435,23,1,?,2,2,NO,60990,11089,5545,44356
Cust10153,23-02-2015,Single Vehicle Collision,Front Collision,Minor Damage,Other,State4,City6,Location 2060,23,1,YES,2,2,NO,59443,10808,5404,43231
Cust10154,06-02-2015,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,State7,City1,Location 1081,15,2,NO,1,0,?,57851,11974,5987,39890
Cust10155,08-01-2015,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,State7,City1,Location 1595,17,2,NO,2,0,?,56054,11813,5907,38334
Cust10156,06-01-2015,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,State9,City4,Location 1194,0,4,YES,0,2,NO,56095,5614,9342,41139
Cust10157,06-01-2015,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,State9,City4,Location 1194,0,4,?,0,2,NO,56627,5649,9461,41517
Cust10158,10-01-2015,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,State5,City5,Location 1200,9,3,NO,1,2,?,56959,10331,7154,39474
Cust10159,08-01-2015,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,State5,City4,Location 1822,7,2,NO,1,2,YES,56702,9144,8690,38868
Cust10160,12-01-2015,Single Vehicle Collision,Side Collision,Total Loss,Police,State7,City5,Location 1543,16,1,NO,2,0,YES,56568,6817,5860,43891
Cust10162,14-02-2015,Parked Car,?,Minor Damage,None,State5,City3,Location 1212,4,1,YES,1,0,NO,3758,683,342,2733
Cust10163,14-02-2015,Parked Car,?,Minor Damage,None,State5,City3,Location 1012,4,1,YES,1,0,NO,3795,690,345,2760
Cust10164,22-02-2015,Multi-vehicle Collision,Rear Collision,Total Loss,Other,State5,City1,Location 1535,16,3,NO,2,2,NO,58854,6797,4477,47580
Cust10165,21-02-2015,Multi-vehicle Collision,Rear Collision,Total Loss,Other,State5,City1,Location 1419,17,3,NO,2,3,?,56326,6860,1446,48020
Cust10166,27-01-2015,Single Vehicle Collision,Side Collision,Minor Damage,Fire,State5,City4,Location 1375,22,1,?,1,3,NO,51660,5062,5062,41536
Cust10167,30-01-2015,Single Vehicle Collision,Side Collision,Minor Damage,Fire,State5,City4,Location 1619,23,1,YES,2,3,YES,49498,4596,4596,40306
Cust10169,13-02-2015,Multi-vehicle Collision,Front Collision,Minor Damage,Police,State9,City7,Location 1445,10,3,YES,2,1,NO,86685,14494,12503,59688
Cust1017,22-02-2015,Multi-vehicle Collision,Rear Collision,Major Damage,Other,State5,City6,Location 1757,0,3,?,1,2,YES,52110,5790,5790,40530
Cust10170,10-01-2015,Vehicle Theft,Rear Collision,Minor Damage,Police,State5,City2,Location 1370,22,2,YES,0,0,?,47034,4276,8333,34425
Cust10171,09-01-2015,Vehicle Theft,?,Minor Damage,Police,State5,City2,Location 1370,21,2,YES,0,1,?,32688,2972,5557,24159
Cust10172,16-02-2015,Single Vehicle Collision,Front Collision,Total Loss,Other,State4,City1,Location 1326,6,1,YES,2,1,?,68748,9504,11458,47786
Cust10173,12-01-2015,Single Vehicle Collision,Front Collision,Total Loss,Other,State4,City1,Location 1326,10,1,YES,1,2,?,84186,9116,14031,61039
Cust10177,13-02-2015,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,State9,City4,Location 1249,3,1,?,0,2,NO,65055,9352,11141,44562
Cust10178,22-01-2015,Multi-vehicle Collision,Side Collision,Total Loss,Police,State5,City3,Location 1632,14,3,NO,2,0,YES,84890,15184,7717,61989
Cust10179,22-01-2015,Multi-vehicle Collision,Side Collision,Total Loss,Police,State5,City7,Location 1632,15,3,YES,2,0,YES,86171,14348,7834,63989
Cust1018,06-01-2015,Single Vehicle Collision,Side Collision,Total Loss,Police,State9,City4,Location 1882,9,1,NO,0,2,YES,77880,14160,7080,56640
Cust10180,12-02-2015,Multi-vehicle Collision,Front Collision,Total Loss,Other,State7,City2,Location 1230,4,3,NO,2,2,?,58960,7284,6342,45334
Cust10181,14-02-2015,Multi-vehicle Collision,Side Collision,Total Loss,Other,State7,City2,Location 1230,2,3,NO,2,2,?,60394,7053,6613,46728
Cust10183,15-01-2015,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,State8,City7,Location 1055,2,1,?,2,0,?,63046,5762,5762,51522
Cust10185,23-02-2015,Multi-vehicle Collision,Front Collision,Total Loss,Fire,State7,City3,Location 1405,5,3,YES,0,1,YES,61006,11092,5546,44368
Cust10187,16-01-2015,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,State8,City7,Location 1117,20,3,?,0,0,?,43853,6694,6694,30465
Cust10188,15-02-2015,Single Vehicle Collision,Front Collision,Minor Damage,Fire,State9,City2,Location 1112,19,2,NO,2,2,NO,57062,8174,8174,40714
Cust10189,08-02-2015,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,State9,City2,Location 1288,19,3,NO,2,2,NO,57550,9466,9466,38618
Cust10190,08-02-2015,Multi-vehicle Collision,Side Collision,Major Damage,Fire,State4,City3,Location 1931,19,3,NO,2,0,NO,56056,9875,5685,40496
Cust10191,08-02-2015,Multi-vehicle Collision,Side Collision,Major Damage,Fire,State8,City3,Location 1003,20,3,NO,2,0,NO,55927,9697,5960,40270
Cust10192,13-02-2015,Multi-vehicle Collision,Front Collision,Minor Damage,Police,State9,City7,Location 1445,11,3,YES,1,1,NO,73074,9982,4791,58301
Cust10193,12-02-2015,Multi-vehicle Collision,Front Collision,Minor Damage,Police,State9,City7,Location 1445,10,3,YES,2,0,NO,89705,15495,14215,59995
Cust10194,12-02-2015,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,State9,City4,Location 1227,13,2,?,2,0,YES,78139,13787,11496,52856
Cust10195,13-02-2015,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,State9,City6,Location 1579,13,2,?,2,0,YES,76647,13630,11063,51954
Cust10196,04-01-2015,Vehicle Theft,?,Trivial Damage,None,State7,City6,Location 1778,3,1,NO,1,0,NO,6970,1116,1184,4670
Cust10197,05-02-2015,Vehicle Theft,?,Trivial Damage,None,State9,City6,Location 1778,3,1,NO,0,1,NO,6299,726,1212,4361
Cust10199,05-02-2015,Multi-vehicle Collision,Side Collision,Total Loss,Police,State6,City2,Location 1881,16,3,NO,1,1,?,55869,5616,5323,44930
Cust10200,14-02-2015,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,State7,City7,Location 1885,16,3,YES,0,2,NO,68353,11189,6568,50596
Cust10201,14-02-2015,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,State7,City6,Location 1011,12,3,YES,0,3,NO,66447,9266,6845,50336
Cust10202,11-01-2015,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,State7,City5,Location 1700,16,1,YES,0,1,?,62600,11418,11220,39962
Cust10203,11-01-2015,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,State6,City2,Location 1496,16,1,YES,0,1,?,62599,11418,11217,39964
Cust10205,16-02-2015,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,State5,City7,Location 1591,15,1,YES,1,1,?,62881,12576,10472,39833
Cust10207,27-01-2015,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,State7,City7,Location 1026,12,1,?,2,0,?,49036,13994,6030,29012
Cust10208,25-02-2015,Single Vehicle Collision,Front Collision,Total Loss,Other,State5,City7,Location 1430,20,1,?,1,3,?,59661,7117,7117,45427
Cust10209,22-02-2015,Single Vehicle Collision,Front Collision,Total Loss,Fire,State5,City5,Location 1883,14,1,?,1,2,?,56302,7609,7609,41084
Cust1021,01-01-2015,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,State5,City2,Location 1541,20,3,NO,1,0,?,47160,0,5240,41920
Cust10210,13-01-2015,Single Vehicle Collision,Front Collision,Total Loss,Fire,State8,City6,Location 1052,14,1,NO,0,1,NO,55214,5377,5377,44460
